week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp
25th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.09019249,-0.152088036,14,6,2010,13.1601048,79.15555062,0.227187904,0.014629251,0
25th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.104248947,0.860766373,18,6,2010,13.1601048,79.15555062,-0.391087974,0,0.047882885
32nd week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.101693227,-0.152088036,28,7,2010,13.1601048,79.15555062,-0.698213297,0,-0.475813279
47th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.097859648,-0.152088036,13,11,2010,13.1601048,79.15555062,0.834892207,0.305413752,-0.85647682
50th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.097859648,-0.152088036,15,11,2010,13.1601048,79.15555062,-0.254452542,0.305413752,-0.772473534
26th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.048023119,-0.152088036,25,6,2011,13.1601048,79.15555062,-0.698154191,0,0.448676943
44th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.055690277,-0.152088036,3,11,2011,13.1601048,79.15555062,0.423511618,0.886982753,0
47th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.058245997,-0.152088036,25,11,2011,13.1601048,79.15555062,-0.678697649,0,-0.699822043
24th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.086358911,0.1855301,9,6,2012,13.1601048,79.15555062,-0.605298801,0,1.025045438
26th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.082525331,-0.152088036,27,6,2012,13.1601048,79.15555062,-0.540261288,0.014629251,0.681565323
37th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.023743784,0.1855301,10,9,2012,13.1601048,79.15555062,-0.488015697,-0.130762999,0.038801448
8th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.076136033,-0.152088036,31,1,2013,13.1601048,79.15555062,-0.739750589,-0.27615525,-0.176630413
7th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.008409468,-0.152088036,11,2,2013,13.1601048,79.15555062,-0.731866549,-0.4215475,0.067054796
11th week,Andhra Pradesh,Chittoor,Chikungunya,-0.097859648,-0.152088036,15,3,2013,13.1601048,79.15555062,-0.740482561,-0.130762999,0.565524758
12th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.086358911,-0.152088036,21,3,2013,13.1601048,79.15555062,-0.739291212,0,0.508008994
16th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.092748209,-0.152088036,20,4,2013,13.1601048,79.15555062,-0.729315796,-0.4215475,1.293855954
18th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.056968137,-0.152088036,3,5,2013,13.1601048,79.15555062,-0.736681365,-0.56693975,1.124941238
47th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.094026069,-0.152088036,22,11,2013,13.1601048,79.15555062,-0.269291881,0.596198253,-0.590844806
25th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.08891463,-0.152088036,16,6,2014,13.1601048,79.15555062,-0.574944567,0.305413752,0.703259876
31st week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.095303929,-0.152088036,26,7,2014,13.1601048,79.15555062,-0.681261026,-0.4215475,0.069072903
49th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.085081051,0.523148237,29,11,2014,13.1601048,79.15555062,-0.738351681,0.450806002,-1.063836284
15th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.008409468,-0.152088036,29,3,2015,13.1601048,79.15555062,-0.738620388,0,1.299304816
15th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.09019249,-0.152088036,5,4,2015,13.1601048,79.15555062,-0.727073976,-0.56693975,0.972675822
20th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.083803191,-0.152088036,10,5,2015,13.1601048,79.15555062,-0.700961196,-0.712332001,0.666934131
22nd week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.092748209,-0.152088036,29,5,2015,13.1601048,79.15555062,-0.570677138,0.305413752,0.751694203
23rd week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.092748209,-0.152088036,29,5,2015,13.1601048,79.15555062,-0.570677138,0.305413752,0.751694203
25th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.04291168,0.1855301,14,6,2015,13.1601048,79.15555062,0.043616406,0.450806002,0.287027376
4th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.046745259,-0.152088036,30,1,2016,13.1601048,79.15555062,-0.648529997,0.014629251,-0.34201345
26th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.017354486,0.1855301,26,6,2016,13.1601048,79.15555062,-0.016866818,0.305413752,-0.351700315
31st week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.099137508,-0.152088036,29,7,2016,13.1601048,79.15555062,0.563439796,0.596198253,-0.011146452
32nd week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.072302454,-0.152088036,7,8,2016,13.1601048,79.15555062,-0.738399593,0.886982753,-0.798708804
41st week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.097859648,-0.152088036,29,9,2016,13.1601048,79.15555062,-0.295987601,0,-0.357754606
12th week,Andhra Pradesh,Chittoor,Dengue,-0.032688802,-0.152088036,4,3,2017,13.1601048,79.15555062,-0.740333346,-0.4215475,0.241620194
7th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.059523856,-0.152088036,11,2,2018,13.1601048,79.15555062,-0.591152542,0.014629251,-0.044445052
25th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,-0.068468875,-0.152088036,19,6,2019,13.1601048,79.15555062,-0.710978101,-0.4215475,0.847049285
32nd week,Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,-0.076136033,-0.152088036,9,8,2011,13.2178147,79.0929361,-0.640549708,-0.27615525,-1.14783957
20th week,Andhra Pradesh,Cuddapah,Acute Diarrhoeal Disease,-0.076136033,-0.152088036,16,5,2012,14.4956602,78.8349278,-0.577857045,0,1.444405978
25th week,Andhra Pradesh,Cuddapah,Acute Diarrhoeal Disease,-0.095303929,-0.152088036,13,6,2016,14.4956602,78.8349278,-0.265309125,-0.712332001,0.759262067
29th week,Andhra Pradesh,Cuddapah,Acute Diarrhoeal Disease,-0.059523856,-0.152088036,12,7,2016,14.4956602,78.8349278,-0.573977877,-0.27615525,-0.51516617
31st week,Andhra Pradesh,Cuddapah,Acute Diarrhoeal Disease,-0.048023119,-0.152088036,31,7,2017,14.4956602,78.8349278,-0.601226076,-0.712332001,0.533235196
13th week,Andhra Pradesh,Cuddapah,Acute Diarrhoeal Disease,-0.081247472,-0.152088036,31,3,2018,14.4956602,78.8349278,-0.73365861,-0.4215475,0.847553819
6th week,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,-0.081247472,-0.152088036,12,1,2010,16.99842865,81.71561488,-0.726434364,0.305413752,-0.603710175
41st week,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,-0.04291168,-0.152088036,9,10,2011,16.99842865,81.71561488,-0.709941042,1.032375004,-0.058067206
28th week,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,-0.060801716,-0.152088036,6,7,2012,16.99842865,81.71561488,0.604718978,0.305413752,0.193185867
45th week,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,0.173046613,-0.152088036,5,11,2012,16.99842865,81.71561488,1.319812315,1.177767254,-0.793663552
16th week,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,-0.074858173,-0.152088036,16,4,2013,16.99842865,81.71561488,-0.739706473,-0.130762999,0.407507765
31st week,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,0.027370605,-0.152088036,30,7,2014,16.99842865,81.71561488,2.049992397,-0.56693975,-0.601439815
28th week,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,-0.076136033,-0.152088036,8,7,2015,16.99842865,81.71561488,-0.57641275,0.741590503,-0.24877737
41st week,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,0.119376505,-0.152088036,7,10,2015,16.99842865,81.71561488,0.519123847,0,-0.434190029
10th week,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,-0.100415368,-0.152088036,7,3,2016,16.99842865,81.71561488,-0.677617233,0.160021502,-0.422333699
31st week,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,-0.095303929,-0.152088036,4,8,2016,16.99842865,81.71561488,1.50336491,0,0
1st week,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,-0.094026069,-0.152088036,5,1,2017,16.99842865,81.71561488,-0.740398384,2.050120756,-0.625354265
36th week,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,-0.082525331,-0.152088036,3,9,2017,16.99842865,81.71561488,-0.220800781,1.323159504,-0.543924052
41st week,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,-0.027577363,-0.152088036,9,10,2017,16.99842865,81.71561488,0.185615203,0.886982753,-0.973778706
6th week,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,-0.101693227,-0.152088036,5,2,2018,16.99842865,81.71561488,-0.740713502,0.741590503,-0.263408563
11th week,Andhra Pradesh,Godavari,Acute Diarrhoeal Disease,-0.08891463,-0.152088036,19,3,2011,16.99842865,81.71561488,-0.738913504,0.305413752,0.18410443
19th week,Andhra Pradesh,Guntur,Acute Diarrhoeal Disease,-0.055690277,-0.152088036,1,5,2010,16.2915189,80.4541588,-0.727578822,0,0.870055591
5th week,Andhra Pradesh,Guntur,Acute Diarrhoeal Disease,-0.104248947,0.523148237,31,1,2018,16.2915189,80.4541588,-0.732859561,-0.27615525,-0.02234689
9th week,Andhra Pradesh,Guntur,Acute Diarrhoeal Disease,0.101486469,-0.152088036,4,3,2018,16.2915189,80.4541588,-0.740627285,-0.4215475,1.124941238
10th week,Andhra Pradesh,Guntur,Acute Diarrhoeal Disease,2.425913305,1.19838451,6,3,2018,16.2915189,80.4541588,-0.740658214,0,1.115859802
13th week,Andhra Pradesh,Guntur,Acute Diarrhoeal Disease,-0.086358911,-0.152088036,28,3,2018,16.2915189,80.4541588,-0.725562946,-0.27615525,1.079534056
15th week,Andhra Pradesh,Guntur,Acute Diarrhoeal Disease,-0.08891463,-0.152088036,13,4,2018,16.2915189,80.4541588,-0.722966589,-0.56693975,1.05339971
23rd week,Andhra Pradesh,Guntur,Acute Diarrhoeal Disease,-0.068468875,-0.152088036,1,6,2018,16.2915189,80.4541588,-0.713505464,0,1.142700501
24th week,Andhra Pradesh,Guntur,Acute Diarrhoeal Disease,-0.0454674,-0.152088036,14,6,2018,16.2915189,80.4541588,-0.515151452,-0.857724251,0.489846121
20th week,Andhra Pradesh,Guntur,Acute Diarrhoeal Disease,-0.083803191,0.523148237,14,5,2019,16.2915189,80.4541588,-0.730250932,-0.857724251,1.589305351
39th week,Andhra Pradesh,Guntur,Acute Diarrhoeal Disease,-0.064635295,-0.152088036,23,9,2019,16.2915189,80.4541588,0.982416615,-0.27615525,-0.211442586
25th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.063357436,-0.152088036,19,6,2009,14.4752936,78.8216861,-0.655749201,-0.4215475,0.850076431
27th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.09019249,-0.152088036,3,7,2009,14.4752936,78.8216861,-0.548825461,0,0.847049285
28th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.049300979,-0.152088036,11,7,2009,14.4752936,78.8216861,-0.37895631,0,0.653311976
51st week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.030133083,-0.152088036,15,12,2009,14.4752936,78.8216861,-0.729194465,-0.27615525,-0.360781752
19th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.09147035,-0.152088036,10,5,2010,14.4752936,78.8216861,-0.721556771,-0.857724251,1.476090111
20th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.09019249,-0.152088036,10,5,2010,14.4752936,78.8216861,-0.721556771,-0.857724251,1.476090111
21st week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.059523856,-0.152088036,19,5,2010,14.4752936,78.8216861,-0.703782814,-0.712332001,1.79656392
24th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.063357436,-0.152088036,6,6,2010,14.4752936,78.8216861,-0.585481228,-0.712332001,1.336437811
25th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,0.033759903,-0.152088036,15,6,2010,14.4752936,78.8216861,0.816713241,-0.56693975,0
25th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.064635295,-0.152088036,17,6,2010,14.4752936,78.8216861,0.810192056,0,0.735044903
26th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.08763677,-0.152088036,25,6,2010,14.4752936,78.8216861,-0.482534098,0,0.435357503
27th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.095303929,-0.152088036,1,7,2010,14.4752936,78.8216861,-0.606379784,-0.27615525,0.586714776
34th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.09147035,-0.152088036,2,7,2010,14.4752936,78.8216861,-0.408993457,-0.27615525,0.586714776
27th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.022465924,-0.152088036,3,7,2010,14.4752936,78.8216861,-0.337054466,0,0.586714776
31st week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.065913155,-0.152088036,26,7,2010,14.4752936,78.8216861,-0.081630291,-0.130762999,0
33rd week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.0454674,-0.152088036,26,7,2010,14.4752936,78.8216861,-0.081630291,-0.130762999,0
21st week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.072302454,-0.152088036,26,5,2011,14.4752936,78.8216861,-0.692518083,-0.4215475,1.146131256
22nd week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.059523856,-0.152088036,3,6,2011,14.4752936,78.8216861,-0.353804824,-0.56693975,0.897501719
28th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.100415368,-0.152088036,14,7,2011,14.4752936,78.8216861,-0.532436634,-0.857724251,0.654825549
29th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.100415368,-0.152088036,14,7,2011,14.4752936,78.8216861,-0.532436634,-0.857724251,0.654825549
43rd week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.096581788,-0.152088036,21,10,2011,14.4752936,78.8216861,-0.73165327,0.741590503,0.15080583
43rd week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.071024594,-0.152088036,23,10,2011,14.4752936,78.8216861,-0.729987489,0,0.448979658
21st week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.059523856,0.1855301,16,5,2012,14.4752936,78.8216861,-0.577857045,0,1.444405978
49th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.073580313,-0.152088036,8,12,2012,14.4752936,78.8216861,0.012389691,0.450806002,-0.023255033
50th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.081247472,-0.152088036,10,12,2012,14.4752936,78.8216861,-0.105801129,0,-0.274003572
26th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.051856698,0.523148237,28,6,2013,14.4752936,78.8216861,-0.608456725,-0.712332001,0.768343503
21st week,Andhra Pradesh,Kadapa,Dengue,-0.094026069,-0.152088036,17,5,2014,14.4752936,78.8216861,-0.740578649,0,1.742478911
11th week,Andhra Pradesh,Kadapa,Dengue,-0.059523856,-0.152088036,10,3,2015,14.4752936,78.8216861,-0.67131876,-0.712332001,1.009001567
28th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,0.015869867,-0.152088036,6,7,2015,14.4752936,78.8216861,-0.725488799,-0.56693975,0.415681058
34th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.068468875,-0.152088036,22,8,2015,14.4752936,78.8216861,-0.256336599,-1.003116501,1.234523903
35th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.083803191,-0.152088036,27,8,2015,14.4752936,78.8216861,-0.530102771,-1.003116501,0.081181485
24th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.095303929,-0.152088036,13,6,2016,14.4752936,78.8216861,-0.265309125,-0.712332001,0.759262067
28th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.059523856,-0.152088036,12,7,2016,14.4752936,78.8216861,-0.573977877,-0.27615525,-0.51516617
11th week,Andhra Pradesh,Kadapa,Chikungunya,-0.072302454,-0.152088036,18,3,2017,14.4752936,78.8216861,-0.719719233,-0.56693975,1.1636887
14th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.051856698,-0.152088036,7,4,2017,14.4752936,78.8216861,-0.737781026,0,1.389513751
21st week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,-0.033966662,-0.152088036,22,5,2017,14.4752936,78.8216861,-0.677617214,-0.712332001,1.672450956
28th week,Andhra Pradesh,Kadapa,Malaria,-0.104248947,-0.152088036,10,7,2017,14.4752936,78.8216861,-0.504934136,-0.56693975,0.831913558
27th week,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,0.247162477,-0.152088036,30,6,2019,14.4752936,78.8216861,-0.376008484,-1.148508752,1.425234067
27th week,Andhra Pradesh,Kadapa,Dengue,-0.105526807,-0.152088036,1,7,2019,14.4752936,78.8216861,-0.286399783,-1.148508752,1.425234067
14th week,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,-0.08891463,-0.152088036,4,4,2010,16.21399145,81.02572814,-0.739666578,0.014629251,0.152622118
9th week,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,0.055483519,-0.152088036,27,2,2011,16.21399145,81.02572814,-0.375629169,0.596198253,-0.589633948
17th week,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,0.022259166,0.860766373,28,4,2011,16.21399145,81.02572814,0.127026835,-0.56693975,0.51709043
35th week,Andhra Pradesh,Krishna,Dengue,-0.055690277,-0.152088036,31,8,2011,16.21399145,81.02572814,0.177463997,-0.27615525,-0.560573352
36th week,Andhra Pradesh,Krishna,Dengue,-0.074858173,-0.152088036,7,9,2011,16.21399145,81.02572814,-0.694985808,0.450806002,0.005502848
51st week,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,-0.051856698,-0.152088036,13,12,2011,16.21399145,81.02572814,-0.679890737,-0.27615525,-0.331115726
16th week,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,0.017147727,-0.152088036,21,4,2013,16.21399145,81.02572814,-0.726296343,-0.56693975,0.884585889
13th week,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,-0.073580313,-0.152088036,26,3,2014,16.21399145,81.02572814,-0.740646355,0.596198253,0.246160912
50th week,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,-0.081247472,-0.152088036,9,12,2014,16.21399145,81.02572814,-0.740284172,0.450806002,-0.628684125
29th week,Andhra Pradesh,Krishna,Dengue,0.065706396,-0.152088036,15,7,2015,16.21399145,81.02572814,-0.592111223,-0.857724251,0.121291162
46th week,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,-0.081247472,-0.152088036,9,11,2015,16.21399145,81.02572814,-0.611202162,0,-0.531512755
14th week,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,-0.077413893,-0.152088036,6,4,2018,16.21399145,81.02572814,-0.723861639,0,0.168968703
21st week,Andhra Pradesh,Krishna,Dengue,-0.068468875,-0.152088036,22,5,2018,16.21399145,81.02572814,-0.729497157,-1.003116501,0.147274151
18th week,Andhra Pradesh,Krishna,Acute Diarrhoeal Disease,-0.074858173,-0.152088036,28,4,2022,16.21399145,81.02572814,-0.738198433,-0.56693975,0.640597965
23rd week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,-0.085081051,-0.152088036,9,6,2010,15.8309251,78.0425373,-0.675894503,0,1.46837089
18th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,-0.022465924,-0.152088036,27,4,2011,15.8309251,78.0425373,-0.671758066,-0.56693975,1.27690394
22nd week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,-0.04291168,-0.152088036,30,5,2011,15.8309251,78.0425373,-0.598738685,-0.712332001,1.454748735
23rd week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,0.05037208,-0.152088036,30,5,2011,15.8309251,78.0425373,-0.598738685,-0.712332001,1.454748735
23rd week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,-0.085081051,-0.152088036,9,6,2011,15.8309251,78.0425373,-0.421629158,0,0.962080812
25th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,-0.081247472,-0.152088036,24,6,2011,15.8309251,78.0425373,-0.671814387,-1.003116501,0.607904794
25th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,-0.081247472,-0.152088036,24,6,2011,15.8309251,78.0425373,-0.671814387,-1.003116501,0.607904794
26th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,-0.077413893,-0.152088036,24,6,2011,15.8309251,78.0425373,-0.671814387,-1.003116501,0.607904794
27th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,-0.077413893,-0.152088036,24,6,2011,15.8309251,78.0425373,-0.671814387,-1.003116501,0.607904794
28th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,0.041427062,-0.152088036,10,7,2011,15.8309251,78.0425373,-0.041956074,-0.712332001,0.253728776
30th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,-0.086358911,-0.152088036,30,7,2011,15.8309251,78.0425373,0.838874063,-1.003116501,-0.203370188
31st week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,-0.062079576,-0.152088036,30,7,2011,15.8309251,78.0425373,0.838874063,-1.003116501,-0.203370188
35th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,-0.077413893,-0.152088036,30,8,2012,15.8309251,78.0425373,0.048004118,-0.712332001,-0.739174934
39th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,-0.09019249,-0.152088036,27,9,2012,15.8309251,78.0425373,-0.727322242,0.596198253,0.436871076
41st week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,-0.085081051,0.523148237,10,10,2012,15.8309251,78.0425373,-0.473810459,0.741590503,-0.391809993
29th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,-0.049300979,0.1855301,19,7,2013,15.8309251,78.0425373,0.085012209,0,0
30th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,0.013314148,-0.152088036,22,7,2013,15.8309251,78.0425373,0.461269507,-1.003116501,0
47th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,-0.082525331,0.523148237,12,11,2013,15.8309251,78.0425373,-0.740479575,0.450806002,-0.081073512
47th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,-0.08891463,0.1855301,18,11,2013,15.8309251,78.0425373,-0.5649177,0.014629251,-0.426369913
9th week,Andhra Pradesh,Kurnool,Cholera,-0.085081051,-0.152088036,18,2,2015,15.8309251,78.0425373,-0.740466431,0,1.046840885
21st week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,-0.069746734,-0.152088036,23,5,2015,15.8309251,78.0425373,-0.697280836,-0.712332001,0.855525292
7th week,Andhra Pradesh,Kurnool,Acute Diarrhoeal Disease,-0.099137508,-0.152088036,17,2,2016,15.8309251,78.0425373,-0.740632093,0,1.00698346
